作用机理,_source_doc,文献来源,原文原句,钝化剂名称
treating the perovskite surface with different types of ammonium salts reduces the level of electronic defects present at the interface between the perovskite film and the hole transport layer,nature_articles_s41467-019-10985-5,https://doi.org/10.1038/s41467-019-10985-5,"We use a triple cation perovskite formulation containing primarily formamidinium and small amounts of cesium and methylammonium. We find that this treatment boosts the power conversion efficiency from 20.5% for the control to 22.3%, 22.1%, and 21.0% for the devices treated with ethylammonium, imidazolium and guanidinium iodide, respectively.","ethylammonium, imidazolium and guanidinium iodide"
"These agents greatly reduce the hysteresis in the JV curve improving the solar to electric power conversion efficiency from 20.5% for the control device to 22.3, 22.1, and 21.0% for the EAI-, IAI-, and GuaI-treated device, respectively. Moreover, defect mitigation improves the operational stability for the PSC's, which was tested at full solar intensity under maximum power tracking condition for 550 h with a small loss of only 5% for the best performing devices.",nature_articles_s41467-019-10985-5,NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-019-10985-5,"We show that the modification of the perovskite surface via the addition of organic ammonium salts, namely, ethylammonium iodide ([(C2H5)NH3]I, (EAI)), imidazolium iodide ([C3N2H5]I, (IAI)), and guanidinium iodide ([C(NH2)3]I, (GuaI)), considerably increases the device performance.","ethylammonium iodide (EAI), imidazolium iodide (IAI), and guanidinium iodide (GuaI)"
EAI is fully converted into EA-containing lead halide phases during the passivation treatment.,nature_articles_s41467-019-10985-5,NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-019-10985-5,EAI (3 mg ml^-1),EAI (3 mg ml^-1)
reduction of the non-radiative recombination losses that could be explained by defect mitigation induced by cation exchange and filling of iodide vacancies at the absorber surface,nature_articles_s41467-019-10985-5,NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-019-10985-5,followed by EAI (3 mg ml⁻¹) with 12.0 nm,EAI (3 mg ml⁻¹)
reduction of the non-radiative recombination losses that could be explained by defect mitigation induced by cation exchange and filling of iodide vacancies at the absorber surface,nature_articles_s41467-019-10985-5,NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-019-10985-5,IAI (7 mg ml⁻¹) with 9.00 nm,IAI (7 mg ml⁻¹)
reduction of the non-radiative recombination losses that could be explained by defect mitigation induced by cation exchange and filling of iodide vacancies at the absorber surface,nature_articles_s41467-019-10985-5,NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-019-10985-5,with GuaI (5 mg ml⁻¹) showing the highest root mean square (RMS) roughness of 12.7 nm,GuaI (5 mg ml⁻¹)
The passivating layer introduces a barrier at the HTM/perovskite interface that prevents the diffusion of HTM additives and gold diffusion into the perovskite layer.,nature_articles_s41467-019-10985-5,NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-019-10985-5,EAI (3 mg ml^-1),EAI (3 mg ml^-1)
The passivating layer introduces a barrier at the HTM/perovskite interface that prevents the diffusion of HTM additives and gold diffusion into the perovskite layer.,nature_articles_s41467-019-10985-5,NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-019-10985-5,IAI (7 mg ml^-1),IAI (7 mg ml^-1)
The passivating layer introduces a barrier at the HTM/perovskite interface that prevents the diffusion of HTM additives and gold diffusion into the perovskite layer.,nature_articles_s41467-019-10985-5,NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-019-10985-5,Gual (5 mg ml^-1),Gual (5 mg ml^-1)
"The introduction of these buffer layers showed a significant enhancement of the open-circuit voltage by 30 mV (EAI), leading to the realization of PCEs as high as 22.3%.",nature_articles_s41467-019-10985-5,NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-019-10985-5,EAI (3 mg ml⁻¹) : 21.8%,EAI (3 mg ml⁻¹)
"The introduction of these buffer layers showed a significant enhancement of the open-circuit voltage by 70 mV (IAI), leading to the realization of PCEs as high as 22.1%.",nature_articles_s41467-019-10985-5,NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-019-10985-5,IAI (7 mg ml⁻¹) : 21.14%,IAI (7 mg ml⁻¹)
"The introduction of these buffer layers showed a significant enhancement of the open-circuit voltage by 40 mV (GuaI), leading to the realization of PCEs as high as 21.0%.",nature_articles_s41467-019-10985-5,NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-019-10985-5,GuaI (5 mg ml⁻¹) : 20.8%,GuaI (5 mg ml⁻¹)
,nature_articles_s41467-019-10985-5,NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-019-10985-5,EAI (3 mg ml⁻¹),EAI (3 mg ml⁻¹)
,nature_articles_s41467-019-10985-5,NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-019-10985-5,IAI (7 mg ml⁻¹),IAI (7 mg ml⁻¹)
,nature_articles_s41467-019-10985-5,NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-019-10985-5,Gual (5 mg ml⁻¹),Gual (5 mg ml⁻¹)
